state,act_participation_2018,sat_participation_2018,sat_score_2018,act_score_2018
Alabama,1.0,0.06,1166.0,19.1
Alaska,0.33,0.43,1106.0,20.8
Arizona,0.66,0.29,1149.0,19.2
Arkansas,1.0,0.05,1169.0,19.4
California,0.27,0.6,1076.0,22.7
Colorado,0.3,1.0,1025.0,23.9
Connecticut,0.26,1.0,1053.0,25.6
Delaware,0.17,1.0,998.0,23.8
District of Columbia,0.32,0.92,977.0,23.6
Florida,0.66,0.97,1014.0,19.9
Georgia,0.53,0.7,1064.0,21.4
Hawaii,0.89,0.56,1099.0,18.9
Idaho,0.36,1.0,1001.0,22.3
Illinois,0.43,0.99,1019.0,23.9
Indiana,0.32,0.63,1074.0,22.5
Iowa,0.68,0.03,1265.0,21.8
Kansas,0.71,0.04,1265.0,21.6
Kentucky,1.0,0.04,1248.0,20.2
Louisiana,1.0,0.04,1210.0,19.2
Maine,0.07,0.99,1013.0,24.0
Maryland,0.31,0.76,1080.0,22.5
Massachusetts,0.25,0.8,1125.0,25.5
Michigan,0.22,1.0,1011.0,24.2
Minnesota,0.99,0.04,1298.0,21.3
Mississippi,1.0,0.03,1236.0,18.6
Missouri,1.0,0.04,1262.0,20.0
Montana,1.0,0.1,1198.0,20.0
Nebraska,1.0,0.03,1252.0,20.1
Nevada,1.0,0.23,1140.0,17.7
New Hampshire,0.16,0.96,1063.0,25.1
New Jersey,0.31,0.82,1094.0,23.7
New Mexico,0.67,0.16,1093.0,19.4
New York,0.27,0.79,1068.0,24.5
North Carolina,1.0,0.52,1098.0,19.1
North Dakota,0.98,0.02,1283.0,20.3
Ohio,1.0,0.08,1062.0,20.3
Oklahoma,1.0,0.18,1099.0,19.3
Oregon,0.42,0.48,1117.0,21.3
Pennsylvania,0.2,0.7,1086.0,23.5
Rhode Island,0.15,0.97,1018.0,24.2
South Carolina,1.0,0.55,1070.0,18.3
South Dakota,0.77,0.03,1240.0,21.9
Tennessee,1.0,0.06,1231.0,19.6
Texas,0.45,0.66,1032.0,20.7
Utah,1.0,0.04,1230.0,20.4
Vermont,0.24,0.64,1120.0,24.1
Virginia,0.24,0.68,1117.0,23.9
Washington,0.24,0.69,1081.0,22.2
West Virginia,0.65,0.28,999.0,20.3
Wisconsin,1.0,0.03,1294.0,20.5
Wyoming,1.0,0.03,1257.0,20.0
